Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
1,-0.014423882,0.019934496,0.053091075,0.0173478,-0.03877709,-0.068466514,0.06806491,0.060065426,-0.012145234,0.029441908,0.09532014,0.044968735,-0.0045310343,0.016059523,-0.054109804,0.0015126262,0.010863003,0.04332234,-0.0229978,-0.034115184,0.065121606,0.041666437,0.060507342,-0.03702419,0.033472914,-0.021670578,-0.027845155,0.064077735,0.004226361,-0.0048259594,-0.051322095,0.011408409,0.030063836,-0.022278,-0.041976582,-0.01821091,0.07684103,-0.015912898,0.05209274,-0.035855,-0.002088843,0.05448804,-0.040312093,-0.07565937,0.0040085074,0.048092846,-0.041866302,0.014343596,0.005009419,0.025588382,-0.012034723,0.02271178,-0.0466604,0.0030616594,0.08496067,-0.03888568,0.036829907,-0.057107106,0.0021575813,-0.00077928184,0.02424058,-0.03126118,-0.03477943,-0.02903522,0.0058301636,-0.026687432,0.0060420963,0.06096764,-0.013381266,0.0067743417,0.00056397205,0.069769785,-0.0021075362,-0.031492196,-0.0059879194,-0.011948023,0.053260747,0.022645788,-0.019743785,-0.011600464,-0.018433724,0.026778314,-0.0149552105,0.044119287,0.019639276,0.024984295,0.076982565,-0.056409188,0.023753205,0.082917124,-0.021536125,-0.026638089,-0.020359898,-0.025303863,0.041461542,-0.011351188,-0.03238623,-0.078212954,0.026345193,0.054022104,-0.06625926,0.05711055,0.062223826,-0.013356305,0.0059156334,-0.0296991,-0.01364767,0.020565707,-0.0057783844,-0.029991882,0.002284518,-0.02649372,-0.057296462,0.02022827,0.026221672,0.055894285,0.047968443,0.08002313,-0.017894609,-0.025436845,-0.019479034,-0.010633268,0.03453548,-0.05537618,-0.0090088975,-0.004814939,-0.0535148,0.002408914
2,-0.014784389,0.024385998,0.055483185,0.0071296194,-0.031415954,-0.065172456,0.06364236,0.053611916,-0.0025519968,0.035351433,0.09366431,0.051337667,0.0052058203,0.0052163787,-0.055914592,0.0022590372,0.0058714873,0.047045328,-0.011593595,-0.027713964,0.058350246,0.037786067,0.059657842,-0.043541946,0.027551457,-0.015456727,-0.026551941,0.06412747,0.016287008,0.0034030732,-0.04449379,0.0178878,0.015307352,-0.013820972,-0.04218652,-0.02032703,0.07071969,-0.0068330923,0.055826522,-0.035844292,0.010272383,0.054042824,-0.035834394,-0.07624875,0.008409366,0.051189493,-0.035518076,0.0019272609,-0.004343695,0.016363883,-0.001971699,0.015598658,-0.049496405,0.0056182165,0.07923482,-0.039452482,0.033061948,-0.051569715,0.0042670444,-0.014929169,0.026191102,-0.033792384,-0.029415658,-0.024030669,0.008309676,-0.03344594,0.0039726417,0.056498393,-0.0064386134,0.0029845142,-0.010892739,0.06463644,-0.001010877,-0.02147517,-0.014138266,-0.012822594,0.052250195,0.028140256,-0.020145768,-0.0033040522,-0.023937557,0.028824545,-0.021425327,0.034688722,0.029994426,0.023222676,0.07538578,-0.055524625,0.02876637,0.082615726,-0.028537525,-0.029662251,-0.027392548,-0.028186407,0.030060213,-0.021098118,-0.018379495,-0.073721394,0.03148532,0.051589496,-0.0628721,0.055103615,0.060272533,-0.022481002,-0.0053005265,-0.026359892,-0.020889105,0.014364765,-0.004043557,-0.021753356,0.003634893,-0.020612396,-0.055460222,0.016187197,0.021968957,0.05413706,0.04451909,0.07486447,-0.013365025,-0.026000207,-0.023579987,-0.008125091,0.028678555,-0.048506197,-0.018704962,-0.012962422,-0.055277657,-0.0054690265
3,-0.011861436,0.01114317,0.030844226,0.0039576,-0.01921847,-0.04922138,0.05311962,0.03997363,-0.01160795,0.03199469,0.07215384,0.038866904,-0.005947001,0.012353791,-0.033750057,0.006523314,0.009635346,0.0331031,-0.0142189795,-0.012361245,0.051375147,0.030700682,0.038208246,-0.02799628,0.02168552,-0.02072666,-0.026736392,0.04362422,0.009078859,-0.0056629735,-0.037027877,0.003122771,0.022831813,-0.0116470475,-0.033308353,-0.007628391,0.05922719,-0.011255645,0.045128398,-0.019151416,0.009521051,0.037603997,-0.01753078,-0.0590141,-0.003688721,0.043464422,-0.0262316,0.0027490312,0.0041879755,0.009625036,-0.0013602951,0.01955235,-0.027022315,-0.0043621487,0.065146305,-0.02216493,0.02761163,-0.043032546,0.010796645,-0.008490748,0.026203044,-0.027783096,-0.029714515,-0.010987811,0.006676373,-0.023228137,0.0127914185,0.04936029,-0.016071774,0.00558209,0.0018354293,0.049491193,0.0010299908,-0.017000925,-0.0067689284,-0.012350751,0.028884275,0.015659692,-0.009750017,0.004283318,-0.0056163217,0.01318648,-0.022283565,0.036068205,0.021113597,0.021531107,0.058285583,-0.041028097,0.025625369,0.059427183,-0.014737568,-0.021843104,-0.019941265,-0.020862022,0.027956529,-0.011690497,-0.02598319,-0.06132,0.013988149,0.035828624,-0.041940343,0.047670707,0.047346253,-0.017170755,-0.00027952754,-0.013984654,-0.0046154372,0.010379581,0.0010799941,-0.022945674,0.0013134755,-0.007614574,-0.040800467,0.0025215023,0.021967694,0.03358774,0.030176383,0.06259923,-0.012636894,-0.022386346,-0.020334912,0.0007321231,0.015515529,-0.03294944,-0.015395676,-0.0005216542,-0.032977816,0.0010185693
