Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
1,-0.012332607,0.010834032,0.032505907,0.0075111063,-0.022896271,-0.052897964,0.05700995,0.044194423,-0.014596966,0.031460356,0.07643784,0.038917158,-0.008665119,0.015867654,-0.03557341,0.0062990193,0.011371343,0.033860847,-0.01821656,-0.015651321,0.055760395,0.033422273,0.040998317,-0.027765939,0.024662523,-0.023174632,-0.028109634,0.046276048,0.00596206,-0.008002295,-0.040935103,0.0019586182,0.027948204,-0.014868851,-0.034921367,-0.00790374,0.0639299,-0.014313138,0.046149187,-0.020731352,0.0059846393,0.03997966,-0.020554082,-0.061882317,-0.004581707,0.04447014,-0.0296897,0.00674557,0.0068585076,0.01325741,-0.0046351203,0.02231232,-0.028290004,-0.0048060226,0.07007569,-0.023702592,0.030098978,-0.04680502,0.010175887,-0.0046490524,0.026536705,-0.02830736,-0.032481696,-0.013662994,0.0062185563,-0.022467157,0.013448594,0.052950326,-0.018351657,0.0068507995,0.004866665,0.053718723,0.00061190734,-0.021033738,-0.004817386,-0.012547408,0.031487267,0.015143735,-0.010525083,0.0014066799,-0.0050398656,0.013841132,-0.02099592,0.040300027,0.019063946,0.022962509,0.061813895,-0.043565392,0.025132403,0.0629069,-0.013779437,-0.02209023,-0.018827884,-0.021092348,0.03270219,-0.009518815,-0.030972121,-0.065629594,0.013788221,0.038734633,-0.04564408,0.050433483,0.05036908,-0.015179898,0.0030046902,-0.016205227,-0.0033432888,0.0129348505,0.00029874675,-0.026331734,0.0010551228,-0.010442881,-0.04364008,0.0046158046,0.024116326,0.03645031,0.03312463,0.06715985,-0.014572277,-0.023212442,-0.019944413,-0.0005039585,0.018632222,-0.037147976,-0.013053497,0.0013889517,-0.034793463,0.0032134377
2,-0.012533417,0.01519843,0.034267295,-0.0034283756,-0.014660017,-0.048581675,0.051550828,0.03666873,-0.0044550435,0.03732018,0.07350988,0.04502676,0.0015299534,0.0043574413,-0.03672416,0.0070956857,0.0060381754,0.03720023,-0.0060103084,-0.008451943,0.047891937,0.028844343,0.039297428,-0.034097217,0.018039532,-0.016450562,-0.026449187,0.04548685,0.018528612,0.00062736595,-0.033154078,0.008534643,0.012179137,-0.0057314965,-0.034622084,-0.009838774,0.05658468,-0.004637073,0.049426608,-0.020213146,0.0189804,0.03880363,-0.0152861355,-0.06155589,-8.8708824e-05,0.047142867,-0.022503331,-0.0064413412,-0.0029570397,0.003246557,0.0060657375,0.014623632,-0.030602634,-0.002224379,0.06303911,-0.023753528,0.025703192,-0.040308792,0.012412278,-0.01945207,0.02832006,-0.03058205,-0.02647264,-0.008001423,0.008746867,-0.029200917,0.011270938,0.047543082,-0.010983111,0.0028158564,-0.007079889,0.047462713,0.0018004322,-0.010142025,-0.013258128,-0.013331931,0.029683128,0.020578824,-0.010659636,0.010296301,-0.010490342,0.01558892,-0.027631635,0.029926715,0.029660046,0.020828526,0.05917869,-0.04192056,0.030114729,0.061524797,-0.020799652,-0.02492041,-0.02593769,-0.023791838,0.020264674,-0.01956317,-0.01596543,-0.0599742,0.018776182,0.035481803,-0.04121969,0.047651473,0.04755168,-0.024577435,-0.008801077,-0.012289499,-0.010684503,0.0061723413,0.0022186993,-0.01736288,0.0024318858,-0.0038888364,-0.040985234,5.762803e-05,0.019365117,0.033853,0.0288802,0.060785245,-0.009616243,-0.023501225,-0.024014937,0.0023067836,0.012014876,-0.029222906,-0.023112236,-0.0070264866,-0.03590577,-0.0050390665
3,-0.01020604,0.004444807,0.016051386,-0.0022610775,-0.008425743,-0.03790254,0.04490205,0.028787764,-0.013663921,0.03249837,0.058079913,0.033686668,-0.009261274,0.012655544,-0.020350393,0.009657523,0.010118129,0.02583334,-0.011370912,0.0001476139,0.044488445,0.024755536,0.02422281,-0.020786438,0.015622363,-0.021780282,-0.026548164,0.030667884,0.00940789,-0.008235295,-0.029679459,-0.0038012927,0.021868402,-0.0068632984,-0.027894923,-0.000297729,0.04973318,-0.010504813,0.040073313,-0.008446183,0.014177493,0.027039027,-0.0039334167,-0.04853308,-0.009786186,0.04006853,-0.017805986,-0.001782385,0.0059397267,0.0015401994,0.0031505018,0.019371372,-0.013788083,-0.00984337,0.054174617,-0.011334519,0.022750644,-0.035566103,0.015998686,-0.010171934,0.027227622,-0.025141608,-0.027957117,-0.0005426804,0.006685426,-0.019543529,0.017786525,0.04329433,-0.01962661,0.00576502,0.0054355646,0.037944987,0.0028157092,-0.010125727,-0.005371302,-0.012504699,0.0135087855,0.009922154,-0.003232587,0.012655181,0.0040004235,0.003961012,-0.025678545,0.033399772,0.019755298,0.019887267,0.04698998,-0.03157508,0.025849212,0.044711143,-0.008751651,-0.018176934,-0.018141517,-0.017451556,0.022147058,-0.009662034,-0.025404746,-0.051919993,0.004827902,0.02487547,-0.027282676,0.042408083,0.038529973,-0.01759832,-0.0016123167,-0.004681257,0.002965388,0.005331629,0.005133152,-0.020535158,0.0003675994,0.0031885854,-0.030849326,-0.008004175,0.02040614,0.01977762,0.01968221,0.053025,-0.010411599,-0.02045193,-0.020073265,0.007528332,0.0046804445,-0.020286515,-0.01734445,0.00422826,-0.019466497,0.0020188224
