Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
6,-0.040637825,0.022466544,0.1328481,-0.05315043,-0.038278695,-0.13841642,-0.019460391,0.11071867,-0.011143407,0.014260686,0.26379016,0.045903116,-0.15911685,0.015433518,-0.13811313,-0.018878343,-0.016601704,0.0723037,-0.115243204,0.15482047,0.18165785,-0.021684546,0.15278251,-0.069808766,-0.08985995,0.10190685,-0.22310662,0.004022688,-0.050247993,-0.07987753,-0.20842466,0.0367732,-0.036765296,-0.011364068,0.0944492,0.07926409,0.28201097,0.06746219,0.17022039,-0.021807853,-0.077038996,0.20170897,-0.04039711,-0.1684298,0.07564796,0.06484949,-0.021218212,-0.018425785,-0.041949395,0.055822372,0.019528229,0.07499773,0.059732743,0.081365,0.25052914,0.057666782,0.16844131,-0.06406122,0.023515584,-0.051418018,0.0153668765,-0.1701244,-0.00296159,-0.027179766,0.028567709,0.10334246,0.21253665,0.1542156,-0.10556203,0.014048693,0.010503165,-0.015010095,0.018756479,-0.11176701,-0.02356071,0.030485291,0.10742462,0.015485844,-0.036002725,0.032599714,-0.00515484,-0.038768355,0.045580696,0.13488059,-0.04087497,-0.037298214,0.20223725,6.0860715e-05,0.06403723,0.15024705,-0.03673632,-0.10327852,-0.13894227,-0.11848856,0.17200388,-0.036094926,-0.26377997,-0.14093593,0.098699875,-0.014788094,-0.26430008,0.08847549,0.11882277,0.061227586,0.17448252,0.017869188,0.057898194,-0.11712645,-0.10048333,-0.2500271,-0.037240643,0.014532925,-0.083455585,-0.12947215,0.14240342,0.03598308,0.046166684,0.14805125,0.038852382,0.061643366,0.00066995557,-0.007676545,0.055223316,-0.109943606,-0.012054373,-0.028306128,-0.018840821,0.053853057
2,-0.038923178,0.024606531,0.13142627,-0.06459296,-0.02692253,-0.12906413,-0.023031104,0.0981466,0.0001516607,0.02349727,0.25645483,0.05272409,-0.14317463,0.004521888,-0.13743962,-0.01820288,-0.023574483,0.07370893,-0.100719914,0.15232739,0.16878791,-0.024544418,0.14794257,-0.0729866,-0.09259302,0.1055977,-0.2135432,0.0064080153,-0.036215805,-0.06654389,-0.19316427,0.040816598,-0.049703337,0.00012808925,0.08752435,0.070454426,0.264515,0.0725233,0.1714522,-0.020265311,-0.060292453,0.19376469,-0.037326433,-0.16651239,0.07455115,0.06430449,-0.0113396775,-0.03055074,-0.051287312,0.04182196,0.031726867,0.06276027,0.051639464,0.07941384,0.23455444,0.054956306,0.16173257,-0.06098302,0.024595225,-0.061937217,0.01985463,-0.16665974,0.00063188066,-0.019369004,0.031059146,0.08988301,0.20334,0.14531238,-0.09414604,0.009298583,-0.0026910447,-0.016898543,0.02097714,-0.09772299,-0.032976523,0.026427899,0.1046142,0.024573753,-0.035622418,0.041070454,-0.012643642,-0.03461517,0.034289904,0.11893594,-0.030110061,-0.035741217,0.19356924,-0.0013559011,0.06657242,0.1487337,-0.042875156,-0.10248635,-0.14303185,-0.12040675,0.15349533,-0.050909605,-0.24047317,-0.13626024,0.09928186,-0.015012905,-0.25007257,0.08308829,0.11143191,0.046892796,0.15366775,0.019314718,0.04479112,-0.11988299,-0.09140178,-0.22971745,-0.034138247,0.0184707,-0.07779312,-0.12768653,0.13106301,0.035475675,0.03560934,0.14071076,0.043039065,0.05730532,-0.006104832,-0.0060906773,0.046694595,-0.09497678,-0.025027344,-0.035237037,-0.025895571,0.04229029
5,-0.040592138,0.017492915,0.118113115,-0.06413756,-0.02379692,-0.12896854,-0.018407105,0.098579675,-0.011628166,0.026992658,0.25697932,0.051089864,-0.15582827,0.014264097,-0.12655468,-0.012898214,-0.01666101,0.07081518,-0.10788513,0.16432808,0.17582414,-0.022894377,0.13944584,-0.066584185,-0.09258591,0.09585571,-0.22212848,-0.0016854819,-0.041977502,-0.077167496,-0.1989082,0.029758936,-0.037086748,-0.003856077,0.08915013,0.08167183,0.27209106,0.06651931,0.17270702,-0.0123660825,-0.061631523,0.19154441,-0.026490582,-0.16638574,0.065420434,0.06881732,-0.0131572345,-0.027807966,-0.041744076,0.042095747,0.030943803,0.07330847,0.06657542,0.07029834,0.24107303,0.06507174,0.1640537,-0.06274312,0.032989584,-0.05777913,0.023526486,-0.16855077,-0.007232471,-0.012515434,0.03062104,0.09538983,0.21540736,0.15213603,-0.1073571,0.013498222,0.009746821,-0.017554397,0.022623697,-0.10010426,-0.027262086,0.025422938,0.093105204,0.017076153,-0.029602103,0.047940716,0.0026802996,-0.045094837,0.030658448,0.13167945,-0.033558898,-0.03391995,0.19580053,0.0016447979,0.07031323,0.14302757,-0.034381166,-0.10224467,-0.14172253,-0.11916842,0.16156575,-0.042746093,-0.2563372,-0.14004464,0.089734845,-0.021010647,-0.24586587,0.088465,0.1135412,0.050206263,0.16188778,0.026736116,0.06050959,-0.120187044,-0.08976531,-0.2402363,-0.034909755,0.027924625,-0.07681922,-0.13875479,0.13785303,0.025164751,0.03350792,0.14547075,0.04023205,0.0578838,-0.006154729,0.0014352157,0.04160016,-0.09385326,-0.023142237,-0.02470164,-0.013292525,0.049072497
7,-0.039837282,0.018737132,0.13437825,-0.05686894,-0.031106515,-0.13799885,-0.030627266,0.09979061,-0.0077118953,0.016550666,0.26382947,0.047014717,-0.14863631,0.004614988,-0.13463357,-0.022023847,-0.026445009,0.07165412,-0.113880344,0.15636104,0.17692567,-0.02016135,0.14715289,-0.0664537,-0.096749574,0.11008482,-0.22412878,0.0042924755,-0.050145205,-0.07251583,-0.20378813,0.032593854,-0.045079064,0.00056188623,0.09749867,0.07293698,0.2720271,0.06344643,0.17589177,-0.009363927,-0.06976281,0.19516544,-0.03317927,-0.15940526,0.06496441,0.06380085,-0.008071611,-0.024490295,-0.044704016,0.037739478,0.034778237,0.063071124,0.05819481,0.08208067,0.23855859,0.062219985,0.16576189,-0.06677209,0.017286677,-0.049743786,0.023325557,-0.17378691,0.0019854174,-0.019814877,0.033450212,0.09243013,0.214146,0.15155372,-0.09347115,0.007662347,0.004527229,-0.025910342,0.012213063,-0.11026335,-0.029031908,0.023861095,0.10433621,0.012745688,-0.031701475,0.040078696,-0.008167299,-0.040900066,0.047376137,0.13353422,-0.04052487,-0.029691676,0.18932861,0.0077642533,0.06273175,0.1478967,-0.03555179,-0.09552232,-0.14256638,-0.11124153,0.16808401,-0.050726697,-0.25984818,-0.14168008,0.09871085,-0.021403043,-0.2580553,0.07745909,0.11979392,0.05550523,0.15625893,0.017787151,0.05777033,-0.12415469,-0.09066314,-0.24366166,-0.033477705,0.013585089,-0.07222463,-0.12853904,0.13810399,0.03355096,0.02945514,0.14338307,0.041467525,0.052738182,-0.01024174,-0.0061336746,0.050747566,-0.09509725,-0.02453659,-0.03641138,-0.022539428,0.046743903
4,-0.046653524,0.013257726,0.12439418,-0.06875674,-0.033351436,-0.13527049,-0.027480995,0.099138,-0.015063934,0.019617632,0.26699147,0.053806037,-0.16238368,0.007833492,-0.13049693,-0.025150724,-0.019113902,0.07673476,-0.106065705,0.15697129,0.17096569,-0.032127727,0.14568241,-0.060196828,-0.09231797,0.109484844,-0.2206024,-0.0050709206,-0.03888739,-0.08193373,-0.20923853,0.03368695,-0.0443482,-0.007324611,0.09627078,0.08644154,0.2746976,0.06959132,0.17475373,-0.022790229,-0.06314246,0.20448425,-0.040795065,-0.16376477,0.080746844,0.057789825,-0.019535817,-0.03263548,-0.03885341,0.04642977,0.037763774,0.06447644,0.06853984,0.07997217,0.24301791,0.06653776,0.1609226,-0.06799917,0.028948624,-0.05129931,0.02382437,-0.1659389,-0.0021320041,-0.011336892,0.02280531,0.10318493,0.21669517,0.15355195,-0.09776605,0.006561173,0.010996681,-0.028876288,0.020393027,-0.11202673,-0.032260414,0.03669424,0.100383945,0.020696416,-0.026240336,0.05001682,-0.009753739,-0.044856597,0.048107043,0.13450478,-0.040012367,-0.04558197,0.19993056,-0.00041367562,0.073104136,0.14197843,-0.03767193,-0.10245855,-0.14441793,-0.11977184,0.17073736,-0.043646064,-0.2627356,-0.13889615,0.1019496,-0.021471059,-0.2564373,0.090639,0.110082485,0.055862613,0.17527854,0.029208615,0.05994892,-0.13001515,-0.0950793,-0.24740791,-0.027261963,0.023505995,-0.07574321,-0.13403432,0.13691145,0.024473159,0.03498691,0.14137238,0.048135526,0.07122178,-0.002421045,-0.0013122715,0.043093454,-0.09760925,-0.024498452,-0.036871012,-0.021468578,0.042417224
9,-0.03241167,0.013287756,0.12543029,-0.06033654,-0.026500562,-0.11626052,-0.028869074,0.087332554,-0.01197391,0.013674702,0.24190637,0.03536328,-0.1530776,0.012712343,-0.13087668,-0.024143754,-0.019302633,0.059547435,-0.107865565,0.14271161,0.16383092,-0.025854956,0.14148861,-0.06129354,-0.09099097,0.10240101,-0.21188378,-0.0046387953,-0.049666077,-0.075821795,-0.19093443,0.037167773,-0.04190385,-0.0009732149,0.09487677,0.06947094,0.26088285,0.069260694,0.1579562,-0.011725303,-0.061098352,0.17901728,-0.03692829,-0.15103905,0.067753874,0.053886127,-0.006453382,-0.027207362,-0.046083517,0.044270795,0.023294702,0.06529355,0.05647638,0.07422431,0.2267189,0.05751963,0.16035588,-0.062264413,0.021630911,-0.046809252,0.023578737,-0.16218103,0.006675827,-0.01263409,0.023952324,0.09433964,0.20186016,0.13766973,-0.09962405,0.006328677,0.00790624,-0.020452546,0.020614998,-0.10088228,-0.025451351,0.029813305,0.09863416,0.01506324,-0.035829946,0.030656787,-0.004357535,-0.033261184,0.04105761,0.1152845,-0.04266445,-0.030437382,0.18068337,0.007992119,0.056269724,0.14216638,-0.038381983,-0.092746474,-0.13353844,-0.11555416,0.15471232,-0.039079174,-0.24722427,-0.1287438,0.08377999,-0.015798448,-0.2318561,0.07693845,0.105198175,0.05625205,0.16422866,0.017023554,0.048484012,-0.11510301,-0.08293048,-0.22876543,-0.039867654,0.017119005,-0.06464023,-0.130358,0.12560898,0.03565218,0.028776933,0.13641857,0.039110165,0.06260322,0.004990273,-0.0055261888,0.041565966,-0.08672775,-0.013980749,-0.023775019,-0.022617545,0.05546373
1,-0.04336293,0.015031443,0.13062476,-0.0629585,-0.02604625,-0.13613972,-0.02795736,0.10448614,-0.0024755942,0.016550345,0.2666027,0.04306903,-0.16364956,0.010211615,-0.14160742,-0.016177665,-0.01831527,0.07121283,-0.107192576,0.17159133,0.18413517,-0.02716022,0.14896576,-0.0714754,-0.1028621,0.11054409,-0.22771332,-0.0016617638,-0.04720585,-0.081748664,-0.20262802,0.031532664,-0.051135406,0.0020960243,0.10004826,0.08947774,0.2834896,0.07235197,0.18289754,-0.020358436,-0.07441112,0.20367686,-0.03131786,-0.17210148,0.08174982,0.062247545,-0.0070421826,-0.025972642,-0.049667723,0.045597296,0.024538761,0.069193244,0.0662336,0.08626186,0.25354227,0.05888652,0.17023264,-0.06086876,0.025682325,-0.0633893,0.020391256,-0.1785446,0.0029956116,-0.022379143,0.03459431,0.108792216,0.21782047,0.15717062,-0.10539508,0.017737355,0.010754918,-0.029147776,0.018618334,-0.1045129,-0.028309723,0.028209466,0.101678394,0.016445253,-0.031864777,0.047212448,-0.007369128,-0.04625815,0.04117868,0.13384323,-0.038381584,-0.042186566,0.20350783,0.00161007,0.0701312,0.14743973,-0.031994972,-0.10951731,-0.15035039,-0.12424109,0.17574055,-0.0449996,-0.27041134,-0.14106193,0.09448786,-0.016448932,-0.26676694,0.08857375,0.108157285,0.057590645,0.17446506,0.030140854,0.052921668,-0.1295181,-0.10168556,-0.2544069,-0.04253617,0.020478236,-0.0788669,-0.14245932,0.14542553,0.02993229,0.04127635,0.14650817,0.043507088,0.05723517,-0.005069128,0.000477305,0.04396946,-0.09939333,-0.018078715,-0.03176372,-0.009052448,0.056081474
10,-0.03950802,0.02626795,0.13597673,-0.06742892,-0.0337339,-0.13961354,-0.032986462,0.10885917,-0.008136194,0.013957281,0.2616507,0.05275048,-0.1592562,0.005945162,-0.1359522,-0.021487368,-0.022841647,0.07387298,-0.113048814,0.16985352,0.18046792,-0.03390366,0.15435314,-0.07486721,-0.097145446,0.11214075,-0.22999978,-0.0017427427,-0.0393366,-0.07975551,-0.21129256,0.043920223,-0.048112143,-0.0068375655,0.10420441,0.083546236,0.2815237,0.07892439,0.16925983,-0.01313162,-0.06789263,0.20412242,-0.034080587,-0.1643174,0.07875069,0.06887186,-0.01531463,-0.030915828,-0.047534686,0.048169766,0.028042952,0.07405692,0.066366166,0.08748192,0.24760379,0.06927402,0.16729824,-0.05627492,0.028415624,-0.06369439,0.016160175,-0.17521384,0.0040448084,-0.019917708,0.028709246,0.10688656,0.22447926,0.15138634,-0.10626194,0.007545445,0.0016644114,-0.03041769,0.02102661,-0.110293284,-0.02744792,0.033646673,0.10132086,0.011035458,-0.032546565,0.03735752,-0.0046651848,-0.044744637,0.04764889,0.13173005,-0.035631802,-0.040621355,0.19813663,0.009766644,0.068533555,0.1439869,-0.044261795,-0.10318908,-0.14099325,-0.117010586,0.16064529,-0.039168913,-0.2586294,-0.1342774,0.10713266,-0.026254544,-0.26778775,0.08942674,0.12265436,0.05903248,0.1740807,0.021859434,0.06255224,-0.13303378,-0.103181295,-0.2527454,-0.038966227,0.024273995,-0.08088441,-0.14253308,0.14649867,0.028220294,0.04292565,0.14106412,0.046801902,0.06634803,-0.0016339676,-0.006590717,0.05083737,-0.10634302,-0.022903258,-0.03467339,-0.013189478,0.046510324
8,-0.046522804,0.024550691,0.13469978,-0.068724185,-0.025360946,-0.13553338,-0.030736795,0.107218914,6.200835e-05,0.025540791,0.2787054,0.05349647,-0.1630968,0.010036702,-0.14654446,-0.019181114,-0.023970474,0.0747541,-0.120172195,0.17516494,0.1803308,-0.03298747,0.15371357,-0.07263703,-0.10673141,0.11341992,-0.23779625,-0.0012871636,-0.05264518,-0.077702,-0.2106698,0.037458867,-0.05021875,-0.004825625,0.104968,0.08562814,0.28264484,0.07240378,0.18385634,-0.016767468,-0.08055416,0.21176325,-0.04310806,-0.1808332,0.07999622,0.06302906,-0.010956698,-0.021179095,-0.051643904,0.055011667,0.031912867,0.07897837,0.06993681,0.078222536,0.2523379,0.070917085,0.18032864,-0.059193928,0.03167519,-0.054259166,0.011801429,-0.1761711,-0.0045666127,-0.018587489,0.03640645,0.10950066,0.23148012,0.15922701,-0.109020576,0.016798763,0.0022465654,-0.022532042,0.028817913,-0.11426305,-0.02774317,0.025325673,0.11469852,0.026044598,-0.034682184,0.047119197,-0.005474065,-0.04863509,0.041402165,0.13932858,-0.04440476,-0.043957476,0.2106657,0.0052486626,0.06811627,0.152425,-0.035050526,-0.11254996,-0.15358588,-0.13223398,0.17093843,-0.053703792,-0.27546623,-0.15123439,0.10388758,-0.027515749,-0.27754262,0.08269878,0.11364546,0.06292433,0.17851114,0.024416447,0.056402437,-0.13521156,-0.10137883,-0.2566578,-0.037560035,0.021843744,-0.0812214,-0.1415432,0.14071023,0.02809459,0.031021805,0.14982997,0.047430813,0.070691995,-0.0043663685,-0.007195828,0.05709757,-0.1035753,-0.022484155,-0.026909348,-0.017836055,0.047677062
11,-0.03546089,0.023369787,0.122236416,-0.06324147,-0.028681118,-0.12844796,-0.026597138,0.09967339,-0.007384234,0.019827653,0.2610625,0.046415508,-0.16177595,0.015949702,-0.1275178,-0.011635616,-0.02623386,0.07385847,-0.111935504,0.17039607,0.17883267,-0.022659773,0.14863697,-0.063693345,-0.09980274,0.11129935,-0.22559266,-0.004801629,-0.045258764,-0.07007259,-0.20879161,0.034016687,-0.038404375,-0.0042082355,0.09107291,0.07633111,0.2830922,0.07628558,0.17620395,-0.018778728,-0.07425735,0.20066516,-0.0272032,-0.16974911,0.067716494,0.06272302,-0.017514246,-0.029654419,-0.046699293,0.041685864,0.036304135,0.06324049,0.06773533,0.08386108,0.24281575,0.07021328,0.17327566,-0.06563106,0.022676764,-0.06338277,0.013725159,-0.17360723,-0.0048379293,-0.02444528,0.030223912,0.10292711,0.22069302,0.149244,-0.107188575,0.012262782,0.0073449896,-0.01654509,0.020381248,-0.099442296,-0.034558494,0.036260117,0.09864128,0.02313379,-0.03828766,0.04376395,-0.0032140657,-0.042453554,0.036526117,0.123258635,-0.04243255,-0.044122804,0.1987497,0.00418399,0.06648338,0.15080617,-0.03963413,-0.10398124,-0.14987147,-0.12696828,0.17201778,-0.04676753,-0.26379204,-0.13345681,0.10223407,-0.025844425,-0.2553712,0.08191124,0.11596955,0.05200921,0.16543153,0.025762467,0.064663485,-0.118835844,-0.10351456,-0.24993344,-0.030109901,0.024078237,-0.08093021,-0.13647628,0.14727777,0.028369278,0.030285874,0.14464799,0.04763729,0.066700086,0.0002913635,-0.0072805104,0.04603414,-0.09924535,-0.01672718,-0.03699694,-0.022132676,0.049799234
